B4F775	Q9R0W0
P21708	Q5U3Y8
P21708	Q5XFX0
P21708	Q5XHZ0
P21708	Q5XIF6
P21708	Q5XIH7
P21708	Q5XIM9
P21708	Q5XIP6
P21708	Q60587
P21708	Q62651
P21708	Q62764-1
P21708	Q62902
P21708	Q62950
P21708	Q62952-1
P21708	Q63120
P21708	Q63396
P21708	Q63454
P21708	Q63531
P21708	Q63621
P21708	Q63644-1
P21708	Q63692
P21708	Q63945-1
P21708	Q641Z4
P21708	Q64428
P21708	Q64608
P21708	Q66H79
P21708	Q66HA5-1
P21708	Q66HD0-2
P21708	Q66HR2
P21708	Q68FQ0
P21708	Q68FQ7
P21708	Q68FR6
P21708	Q68FT7
P21708	Q6AY21
P21708	Q6AY23
P21708	Q6AY48
P21708	Q6AY53
P21708	Q6AY56
P21708	Q6AYT3
P21708	Q6MG49
P21708	Q6P3V8
P21708	Q6P502
P21708	Q6P5P5
P21708	Q6P9V9
P21708	Q6QI16
P21708	Q6QI89
P21708	Q6QIX3-2
P21708	Q71SY3
P21708	Q78P75
P21708	Q7TP54
P21708	Q7TPB1
P21708	Q7TQ16
P21708	Q80WL2
P21708	Q8K553
P21708	Q8R514
P21708	Q8VHF5
P21708	Q91ZT1-2
P21708	Q920J4
P21708	Q925G0
P21708	Q925S8
P21708	Q99068
P21708	Q99ND8
P21708	Q99PF3
P21708	Q9EPH8
P21708	Q9EQ23
P21708	Q9EQH1
P21708	Q9ESW0
P21708	Q9ET34
P21708	Q9JID1-1
P21708	Q9QX69
P21708	Q9QXQ0
P21708	Q9QXU8
P21708	Q9QYF3
P21708	Q9R0J9
P21708	Q9WUN0
P21708	Q9Z0U8
P21708	Q9Z0V6
P21708	Q9Z1I2
P21708	Q9Z1P2
P21708	Q9Z1X8
P21708	Q9Z269
P21708	Q9Z270
P21708	Q9Z298
P21708	Q9Z2A6
P21708	Q9Z2L0
P25095	Q62689
P25099	P49651
P27321	Q07009
P27732	O88871
P27791	O35303
P28572-2	P18614
P28572-2	P31016
P29067	P25095
P29067	P49187
P29117	Q05962
P29476-1	P47858
P29476	P47858
P29476	Q80W92
P30680	Q63787
P30680	Q9QX74
P30937	P31016
P31016	O08560
P31016	P11506
P31016	P20595
P31016	P30937
P31016	P35439
P31016	P70587
P31016	Q00959
P31016	Q00960
P31016	Q62696
P31016	Q62765
P31016	Q62936
P31016	Q63622
P31016	Q6IN36
P31016	Q8K430
P31016	Q8R4T5
P31016	Q925Q9
P31016	Q9QUH6
P31016	Q9WUL3
P31016	Q9WVI4
P31016	Q9Z1T4
P31016	Q9Z252
P31388	Q62844
P31421	P14842
P31421	Q9EP80
P31422	P97879
P31422	Q9EP80
P31422	Q9JI92
P31423	P97879
P31423	Q9JI92
P31424	O88382
P31424	Q8R4T5
P32851	O35430
P32851	P60881
P32851	P61765
P34926	Q62976
P35213	Q9JLT6
P35234	P35439
P35286	Q4QRB4
P35349	P97879
P35349	Q9JI92
P35400	P97879
P35400	Q9EP80
P35400	Q9JI92
P35439	P35234
P35439	Q00959
P35439	Q00960
P35439	Q62936
P35439	Q9JJ40
P35439	Q9WV48
P35439	Q9Z1E1
P35439	Q9Z2S9
P35465	O55043
P35570	O88900
P35570	P15127
P35570	P62994
P35570	Q63787
P35739	P62994
P39052	P97874
P42346	Q62622
P46462	O35987
P47196	O08874
P47196	P04797
P47196	P17431
P47196	P84025
P47196	Q63369
P47196	Q9R237
P47709	P32851
P47709	P60881
P47709	P63012
P49185	P19491-3
P49185	P19493
P49185	P50232
P49185	Q9R237
P49186	P50232
P49187	P50232
P49651	P25099
P50232	P21707
P50232	P49185
P50232	P49187
P50617	O88382
P51638	Q62600
P51639	P62989
P52164	P09416
P52164	Q9QZM5
P52188	Q62696
P52947	Q9WTV5
P54258	Q6GMN2
P60881	P21575
P60881	P32851
P60881	P47709
P61016	Q6JP77
P61169	P23977
P61169	Q925Q9
P61765	P32851
P61810	B1WCA1
P61810	P21263
P61810	Q03114
P61983	P97756
P62260	P20942
P62813	Q63787
P62989	P61810
P63039	Q63690
P63102	P45592
P67999	O35867
P68511	P47709
P68511	Q9JIR4
P68511	Q9JIS1
P70483	P41350
P70498	Q9Z2F5
P70579	P60889
P70579	Q62868
P70587	P11275
P70587	P31016
P70587	Q00960
P70587	Q9Z1T4
P70600	Q62848
P84025	P47196
P97555	A4L9P5-2
P97555	A9UK05
P97555	O70260
P97555	P60889
P97555	P63281
P97555	Q62868
P97756	P29476
P97756	P61983
P97756	P68511
P97836-5	P31016
P97836-5	Q9QX74
P97836-5	Q9WV48
P97836	O88382
P97836	P31016
P97836	Q63622
P97836	Q9WV48
P97837	O88382
P97838	O88382
P97839	O88382
P97879	P19491
P97879	P19492
P97879	P19493-3
P97879	P35400
P97879	P54256
P97879	Q3MUI2
P97879	Q91Z79
P97879	Q91Z80
P97879	Q9EP80
P97879	Q9JHZ4
P97879	Q9QXY2
P97879	Q9WUL3
Q00959	O88382
Q00959	P11275
Q00959	P31016
Q00959	Q62696
Q00959	Q63622
Q00959	Q9WTW1
Q00959	Q9Z1E1
Q00960	P11275
Q00960	P15791-2
Q00960	P31016
Q00960	Q62936
Q00960	Q63622
Q00960	Q9Z1E1
Q00960	Q9Z252
Q00960	Q9Z2S9
Q00961	P62260
Q03062	O55170
Q03062	P19359
Q03114	P21263
Q04631	Q02293
Q04970	O08774
Q06226	Q4KSH6
Q06486	P60192
Q07009	Q64537
Q08290	D3ZEZ9
Q2MJT0	Q6AXS5
Q3B8P9	Q9R237-3
Q3MKQ2	P07174
Q3MUI1	P18484
Q3MUI1	P62944-2
Q3MUI1	P68511
Q3MUI1	P84092
Q3MUI1	Q66HM2
Q4KSH6	P49185
Q4KSH6	Q62925
Q4QQV2	O70143
Q4QQV2	P50904
Q4QQV2	P97573
Q4QRB4	O89046
Q4V8A2	Q6GX89
Q5BJU7	O88778
Q5BJU7	P08753
Q5BJU7	P54311
Q5BJU7	P60711
Q5M824	B5DFH1
Q5M824	P62994
Q5WQV5	P19969
Q5XIA5	P67999
Q62634	O35179
Q62640	O88382
Q62640	Q63622
Q62696	O08560
Q62696	P31016
Q62696	P52188
Q62696	Q00959
Q62765-1	P31016
Q62765	Q63373
Q62839	Q9WTZ3
Q62889	O35430
Q62889	O35431
Q62915	Q64542
Q62915	Q9JK66
Q62927	O88900
Q62936	O08560
Q62936	Q00960
Q62936	Q62956
Q62936	Q9QUH6
Q62956	Q62936
Q62976	P34926
Q63065	P67999
Q63226	P31016
Q63226	Q62696
Q63226	Q63622
Q63237	P13596
Q63237	P61149
Q63337	P97879
Q63337	Q9EP80
Q63337	Q9JI92
Q63369	P47196
Q63369	Q99N34
Q63372-1	Q62915
Q63373	Q62765
Q63373	Q62888
Q63373	Q62915
Q63450	Q3MUI1
Q63531	P35213
Q63531	P42346
Q63537	O54960
Q63604	Q9Z254
Q63622	O08560
Q63622	Q63226
Q63635	P60881
Q63666	O70319
Q63690	P63039
Q63690	Q9Z2L0
Q63787	P62813
Q64542-4	Q62915
Q66HP1	Q9QWJ1
Q6IN36	O08816
Q6IN36	P00884
Q6IN36	P21575
Q6IN36	P31016
Q6IN36	P47942
Q6IN36	P60711
Q6IN36	P62994-1
Q6IN36	Q4V7C7
Q6IN36	Q5M7U6
Q6JHU9	O35800
Q6JP77	P61016
Q6P791	P09527
Q71RJ2	P31016
Q76JQ2	P54645
Q7TNJ9	P84092
Q811U3	P09951
Q811U3	Q9JIR4
Q8CFN2	Q63787
Q8CJ75	Q6V7V2
Q8K430	P31016
Q8K430	P60711
Q8K430	Q9JJ40
Q8K430	Q9QUH6
Q8K4S7	P84109
